gene	pfam_id	pfam_evalue	pfam_description
TRINITY_DN261_c0_g1_i1	A0A096S7N3_MAIZE/747-941	5.3e-90	A0A096S7N3_MAIZE/747-941 A0A096S7N3.1 PF13091.5;PLDc_2;
TRINITY_DN5227_c0_g1_i4	A0A0A0L6V2_CUCSA/346-617	1.3e-107	A0A0A0L6V2_CUCSA/346-617 A0A0A0L6V2.1 PF00069.24;Pkinase;
TRINITY_DN2282_c0_g1_i2	M0SPT2_MUSAM/10-90	2.7e-25	M0SPT2_MUSAM/10-90 M0SPT2.1 PF08700.10;Vps51;
TRINITY_DN16205_c0_g7_i1	W1PFM8_AMBTC/64-720	2.1e-248	W1PFM8_AMBTC/64-720 W1PFM8.1 PF00063.20;Myosin_head;
TRINITY_DN20426_c0_g1_i4	A0A0B0MNZ0_GOSAR/298-631	1.2e-147	A0A0B0MNZ0_GOSAR/298-631 A0A0B0MNZ0.1 PF00702.25;Hydrolase;
TRINITY_DN9543_c1_g1_i1	M0RX81_MUSAM/104-261	4.4e-60	M0RX81_MUSAM/104-261 M0RX81.1 PF10358.8;NT-C2;
TRINITY_DN11228_c0_g1_i6	M0U2R2_MUSAM/87-302	6.5e-96	M0U2R2_MUSAM/87-302 M0U2R2.1 PF00566.17;RabGAP-TBC;
TRINITY_DN4009_c0_g2_i4	M0SJD4_MUSAM/289-450	5.5e-71	M0SJD4_MUSAM/289-450 M0SJD4.1 PF03031.17;NIF;
TRINITY_DN4793_c0_g1_i2	A0A0K9P920_ZOSMR/856-1128	2.6e-137	A0A0K9P920_ZOSMR/856-1128 A0A0K9P920.1 PF00069.24;Pkinase;
TRINITY_DN16844_c0_g3_i7	A0A175YIH6_DAUCA/324-640	1.3e-88	A0A175YIH6_DAUCA/324-640 A0A175YIH6.1 PF03571.14;Peptidase_M49;
TRINITY_DN12774_c0_g1_i6	M0TMP6_MUSAM/297-392	1.2e-30	M0TMP6_MUSAM/297-392 M0TMP6.1 PF00254.27;FKBP_C;
TRINITY_DN17493_c0_g1_i8	A0A1B6PF96_SORBI/320-395	5.1e-08	A0A1B6PF96_SORBI/320-395 A0A1B6PF96.1 PF16131.4;Torus;
TRINITY_DN507_c0_g2_i1	A0A151T4X4_CAJCA/57-215	1.2e-81	A0A151T4X4_CAJCA/57-215 A0A151T4X4.1 PF01652.17;IF4E;
TRINITY_DN507_c0_g2_i1	A0A151T4X4_CAJCA/57-215	3.6e-22	A0A151T4X4_CAJCA/57-215 A0A151T4X4.1 PF01652.17;IF4E;
TRINITY_DN3028_c0_g3_i5	M0TWL0_MUSAM/69-389	1.5e-79	M0TWL0_MUSAM/69-389 M0TWL0.1 PF10250.8;O-FucT;
TRINITY_DN3028_c0_g3_i5	M0TWL0_MUSAM/69-389	6.3e-67	M0TWL0_MUSAM/69-389 M0TWL0.1 PF10250.8;O-FucT;
TRINITY_DN16558_c0_g1_i1	M0U8E6_MUSAM/151-210	7.6e-12	M0U8E6_MUSAM/151-210 M0U8E6.1 PF04193.13;PQ-loop;
TRINITY_DN253_c0_g1_i17	A0A067GHX7_CITSI/23-207	1.6e-81	A0A067GHX7_CITSI/23-207 A0A067GHX7.1 PF00903.24;Glyoxalase;
TRINITY_DN1667_c0_g1_i3	M0T3W5_MUSAM/414-482	6.2e-22	M0T3W5_MUSAM/414-482 M0T3W5.1 PF00013.28;KH_1;
TRINITY_DN8096_c0_g1_i3	A0A0D9Y7F5_9ORYZ/739-922	5.0e-80	A0A0D9Y7F5_9ORYZ/739-922 A0A0D9Y7F5.1 PF13091.5;PLDc_2;
TRINITY_DN960_c0_g1_i5	M0SRZ1_MUSAM/396-652	6.0e-142	M0SRZ1_MUSAM/396-652 M0SRZ1.1 PF00069.24;Pkinase;
TRINITY_DN6001_c0_g1_i1	A0A067L9D2_JATCU/107-260	1.9e-42	A0A067L9D2_JATCU/107-260 A0A067L9D2.1 PF08389.11;Xpo1;
TRINITY_DN3018_c0_g1_i3	A0A0J8D1V7_BETVU/897-1052	5.9e-65	A0A0J8D1V7_BETVU/897-1052 A0A0J8D1V7.1 PF08372.9;PRT_C;
TRINITY_DN12770_c0_g1_i8	M0SY67_MUSAM/21-1042	0.0e+00	M0SY67_MUSAM/21-1042 M0SY67.1 PF02463.18;SMC_N;
TRINITY_DN4441_c0_g2_i13	M0S9M2_MUSAM/93-535	3.2e-143	M0S9M2_MUSAM/93-535 M0S9M2.1 PF02127.14;Peptidase_M18;
TRINITY_DN4441_c0_g2_i13	M0S9M2_MUSAM/93-535	1.3e-112	M0S9M2_MUSAM/93-535 M0S9M2.1 PF02127.14;Peptidase_M18;
TRINITY_DN4441_c0_g2_i13	M0S9M2_MUSAM/93-535	3.3e-76	M0S9M2_MUSAM/93-535 M0S9M2.1 PF02127.14;Peptidase_M18;
TRINITY_DN4441_c0_g2_i13	M0S9M2_MUSAM/93-535	1.9e-10	M0S9M2_MUSAM/93-535 M0S9M2.1 PF02127.14;Peptidase_M18;
TRINITY_DN8801_c0_g1_i7	M0SDG9_MUSAM/104-293	8.3e-67	M0SDG9_MUSAM/104-293 M0SDG9.1 PF08389.11;Xpo1;
TRINITY_DN444_c0_g3_i1	M0TI90_MUSAM/205-541	2.2e-120	M0TI90_MUSAM/205-541 M0TI90.1 PF10373.8;EST1_DNA_bind;
TRINITY_DN8127_c0_g2_i1	M0S319_MUSAM/744-1066	2.8e-168	M0S319_MUSAM/744-1066 M0S319.1 PF08767.10;CRM1_C;
TRINITY_DN21530_c2_g2_i4	A0A0J8CPY4_BETVU/519-958	4.3e-217	A0A0J8CPY4_BETVU/519-958 A0A0J8CPY4.1 PF00136.20;DNA_pol_B;
TRINITY_DN3337_c0_g1_i17	M0SCT3_MUSAM/78-162	7.5e-36	M0SCT3_MUSAM/78-162 M0SCT3.1 PF10497.8;zf-4CXXC_R1;
TRINITY_DN8859_c0_g1_i3	M0T3X5_MUSAM/471-888	1.2e-177	M0T3X5_MUSAM/471-888 M0T3X5.1 PF00144.23;Beta-lactamase;
TRINITY_DN27268_c0_g2_i7	W1PMW6_AMBTC/60-366	4.2e-127	W1PMW6_AMBTC/60-366 W1PMW6.1 PF00481.20;PP2C;
TRINITY_DN27268_c0_g2_i7	W1PMW6_AMBTC/60-366	4.2e-127	W1PMW6_AMBTC/60-366 W1PMW6.1 PF00481.20;PP2C;
TRINITY_DN3760_c1_g2_i2	A0A061DNT9_THECC/68-182	2.5e-47	A0A061DNT9_THECC/68-182 A0A061DNT9.1 PF00665.25;rve;
TRINITY_DN8786_c0_g2_i9	F6HIF8_VITVI/19-589	1.6e-139	F6HIF8_VITVI/19-589 F6HIF8.1 PF06248.12;Zw10;
TRINITY_DN159_c0_g1_i4	M0T0C5_MUSAM/136-259	1.8e-66	M0T0C5_MUSAM/136-259 M0T0C5.1 PF01553.20;Acyltransferase;
TRINITY_DN20265_c0_g3_i3	M0SZU7_MUSAM/47-410	1.8e-162	M0SZU7_MUSAM/47-410 M0SZU7.1 PF01094.27;ANF_receptor;
TRINITY_DN24_c0_g1_i3	M0U9G6_MUSAM/14-381	1.3e-173	M0U9G6_MUSAM/14-381 M0U9G6.1 PF07690.15;MFS_1;
TRINITY_DN4415_c0_g1_i13	M0SAR1_MUSAM/25-451	1.8e-122	M0SAR1_MUSAM/25-451 M0SAR1.1 PF05577.11;Peptidase_S28;
TRINITY_DN4415_c0_g1_i13	M0SAR1_MUSAM/25-451	7.9e-86	M0SAR1_MUSAM/25-451 M0SAR1.1 PF05577.11;Peptidase_S28;
TRINITY_DN5969_c0_g1_i1	M0RIK7_MUSAM/58-236	1.5e-81	M0RIK7_MUSAM/58-236 M0RIK7.1 PF02194.14;PXA;
TRINITY_DN427_c1_g1_i2	M0SYT5_MUSAM/95-323	4.4e-36	M0SYT5_MUSAM/95-323 M0SYT5.1 PF05637.11;Glyco_transf_34;
TRINITY_DN5487_c0_g2_i1	A0A0K9Q6D3_ZOSMR/407-695	7.5e-153	A0A0K9Q6D3_ZOSMR/407-695 A0A0K9Q6D3.1 PF00176.22;SNF2_N;
TRINITY_DN7100_c0_g1_i15	J3L7Z6_ORYBR/154-442	4.0e-61	J3L7Z6_ORYBR/154-442 J3L7Z6.1 PF00931.21;NB-ARC;
TRINITY_DN4820_c0_g1_i6	A0A1B6PN00_SORBI/228-443	2.1e-94	A0A1B6PN00_SORBI/228-443 A0A1B6PN00.1 PF01068.20;DNA_ligase_A_M;
TRINITY_DN1474_c0_g1_i18	M0SAY7_MUSAM/14-175	2.3e-77	M0SAY7_MUSAM/14-175 M0SAY7.1 PF00071.21;Ras;
TRINITY_DN1474_c0_g1_i18	M0SAY7_MUSAM/14-175	6.8e-45	M0SAY7_MUSAM/14-175 M0SAY7.1 PF00071.21;Ras;
TRINITY_DN3330_c0_g2_i1	A0A0D9Y8J9_9ORYZ/216-512	3.0e-162	A0A0D9Y8J9_9ORYZ/216-512 A0A0D9Y8J9.1 PF00176.22;SNF2_N;
TRINITY_DN13332_c0_g1_i7	M0TCW6_MUSAM/99-252	1.4e-66	M0TCW6_MUSAM/99-252 M0TCW6.1 PF08847.10;Crr6;
TRINITY_DN1128_c0_g1_i2	A0A067G8U2_CITSI/7-84	1.0e-24	A0A067G8U2_CITSI/7-84 A0A067G8U2.1 PF09429.9;Wbp11;
TRINITY_DN1128_c0_g1_i2	A0A067G8U2_CITSI/7-84	1.3e-24	A0A067G8U2_CITSI/7-84 A0A067G8U2.1 PF09429.9;Wbp11;
TRINITY_DN14774_c0_g1_i1	M0SSQ1_MUSAM/58-120	2.2e-19	M0SSQ1_MUSAM/58-120 M0SSQ1.1 PF00076.21;RRM_1;
TRINITY_DN19_c0_g1_i9	M0SYG7_MUSAM/5-141	6.1e-62	M0SYG7_MUSAM/5-141 M0SYG7.1 PF00790.18;VHS;
TRINITY_DN33381_c0_g3_i3	M0S5A8_MUSAM/185-286	3.2e-47	M0S5A8_MUSAM/185-286 M0S5A8.1 PF08241.11;Methyltransf_11;
TRINITY_DN5512_c0_g1_i4	C0P4N4_MAIZE/29-774	3.2e-164	C0P4N4_MAIZE/29-774 C0P4N4.1 PF05691.11;Raffinose_syn;
TRINITY_DN5512_c0_g1_i4	C0P4N4_MAIZE/29-774	1.5e-137	C0P4N4_MAIZE/29-774 C0P4N4.1 PF05691.11;Raffinose_syn;
TRINITY_DN9148_c0_g2_i8	M0SH02_MUSAM/39-220	6.9e-82	M0SH02_MUSAM/39-220 M0SH02.1 PF04413.15;Glycos_transf_N;
TRINITY_DN10342_c0_g1_i3	M0SV98_MUSAM/77-194	1.7e-59	M0SV98_MUSAM/77-194 M0SV98.1 PF00917.25;MATH;
TRINITY_DN18310_c0_g1_i9	M1AWJ3_SOLTU/3-105	7.7e-49	M1AWJ3_SOLTU/3-105 M1AWJ3.1 PF03650.12;MPC;
TRINITY_DN3096_c0_g1_i10	A0A0K9NTJ1_ZOSMR/139-634	7.5e-238	A0A0K9NTJ1_ZOSMR/139-634 A0A0K9NTJ1.1 PF00324.20;AA_permease;
TRINITY_DN4199_c2_g1_i5	M0SB62_MUSAM/461-794	3.0e-146	M0SB62_MUSAM/461-794 M0SB62.1 PF03372.22;Exo_endo_phos;
TRINITY_DN3136_c0_g1_i4	F6HAE8_VITVI/702-911	9.2e-119	F6HAE8_VITVI/702-911 F6HAE8.1 PF00149.27;Metallophos;
TRINITY_DN3421_c0_g1_i6	M0THA5_MUSAM/64-355	6.3e-43	M0THA5_MUSAM/64-355 M0THA5.1 PF02309.15;AUX_IAA;
TRINITY_DN8161_c0_g2_i7	I1H7Y9_BRADI/197-239	1.2e-09	I1H7Y9_BRADI/197-239 I1H7Y9.1 PF12799.6;LRR_4;
TRINITY_DN13661_c0_g2_i1	A0A087HCN9_ARAAL/556-654	1.0e-32	A0A087HCN9_ARAAL/556-654 A0A087HCN9.1 PF13432.5;TPR_16;
TRINITY_DN868_c0_g1_i10	I1HNE4_BRADI/433-760	5.7e-161	I1HNE4_BRADI/433-760 I1HNE4.1 PF00493.22;MCM;
TRINITY_DN15526_c0_g3_i1	K7VIJ6_MAIZE/664-789	3.3e-23	K7VIJ6_MAIZE/664-789 K7VIJ6.1 PF10198.8;Ada3;
TRINITY_DN17393_c0_g1_i5	A0A0L9UI31_PHAAN/350-688	2.4e-151	A0A0L9UI31_PHAAN/350-688 A0A0L9UI31.1 PF00702.25;Hydrolase;
TRINITY_DN5901_c0_g2_i6	M0SN44_MUSAM/27-110	1.5e-36	M0SN44_MUSAM/27-110 M0SN44.1 PF00439.24;Bromodomain;
TRINITY_DN5901_c0_g2_i6	M0SN44_MUSAM/27-110	6.2e-06	M0SN44_MUSAM/27-110 M0SN44.1 PF00439.24;Bromodomain;
TRINITY_DN11282_c0_g1_i6	I1IFM2_BRADI/101-168	4.3e-15	I1IFM2_BRADI/101-168 I1IFM2.1 PF13976.5;gag_pre-integrs;
TRINITY_DN2211_c0_g1_i1	M0S8Z4_MUSAM/1-289	1.3e-149	M0S8Z4_MUSAM/1-289 M0S8Z4.1 PF00393.18;6PGD;
TRINITY_DN6214_c0_g1_i9	M0TBC6_MUSAM/19-157	2.6e-41	M0TBC6_MUSAM/19-157 M0TBC6.1 PF00179.25;UQ_con;
TRINITY_DN6214_c0_g1_i9	M0TBC6_MUSAM/19-157	9.4e-23	M0TBC6_MUSAM/19-157 M0TBC6.1 PF00179.25;UQ_con;
TRINITY_DN7384_c0_g1_i8	A0A0J8BIX8_BETVU/15-78	4.2e-15	A0A0J8BIX8_BETVU/15-78 A0A0J8BIX8.1 PF01066.20;CDP-OH_P_transf;
TRINITY_DN1380_c1_g1_i1	M0RIN7_MUSAM/320-574	1.0e-133	M0RIN7_MUSAM/320-574 M0RIN7.1 PF01803.15;LIM_bind;
TRINITY_DN1363_c0_g1_i11	M0T1X4_MUSAM/372-510	1.3e-56	M0T1X4_MUSAM/372-510 M0T1X4.1 PF01399.26;PCI;
TRINITY_DN15528_c0_g1_i1	M0RH76_MUSAM/244-311	1.1e-18	M0RH76_MUSAM/244-311 M0RH76.1 PF14559.5;TPR_19;
TRINITY_DN444_c0_g1_i4	M0TI90_MUSAM/205-541	6.8e-138	M0TI90_MUSAM/205-541 M0TI90.1 PF10373.8;EST1_DNA_bind;
TRINITY_DN21150_c0_g1_i1	M0TR20_MUSAM/26-444	4.5e-198	M0TR20_MUSAM/26-444 M0TR20.1 PF00999.20;Na_H_Exchanger;
TRINITY_DN1175_c0_g2_i3	M0SB57_MUSAM/29-384	4.3e-108	M0SB57_MUSAM/29-384 M0SB57.1 PF00262.17;Calreticulin;
TRINITY_DN1180_c0_g1_i7	W5HG44_WHEAT/10-115	1.9e-31	W5HG44_WHEAT/10-115 W5HG44.1 PF00025.20;Arf;
TRINITY_DN7194_c0_g1_i10	M0TAT5_MUSAM/81-264	4.7e-91	M0TAT5_MUSAM/81-264 M0TAT5.1 PF14543.5;TAXi_N;
TRINITY_DN7194_c0_g1_i10	M0TAT5_MUSAM/81-264	6.2e-91	M0TAT5_MUSAM/81-264 M0TAT5.1 PF14543.5;TAXi_N;
TRINITY_DN2591_c0_g1_i2	M0TA32_MUSAM/274-452	4.4e-89	M0TA32_MUSAM/274-452 M0TA32.1 PF15469.5;Sec5;
TRINITY_DN4147_c0_g1_i11	M0SD37_MUSAM/155-306	8.5e-40	M0SD37_MUSAM/155-306 M0SD37.1 PF01529.19;DHHC;
TRINITY_DN6803_c0_g1_i3	M0RIX8_MUSAM/810-933	1.1e-23	M0RIX8_MUSAM/810-933 M0RIX8.1 PF07766.12;LETM1;
TRINITY_DN6803_c0_g1_i3	M0RIX8_MUSAM/810-933	4.5e-17	M0RIX8_MUSAM/810-933 M0RIX8.1 PF07766.12;LETM1;
TRINITY_DN8096_c0_g1_i1	M0S3X0_MUSAM/42-221	2.2e-88	M0S3X0_MUSAM/42-221 M0S3X0.1 PF13091.5;PLDc_2;
TRINITY_DN6667_c0_g1_i1	M0TZT9_MUSAM/176-467	2.5e-108	M0TZT9_MUSAM/176-467 M0TZT9.1 PF00931.21;NB-ARC;
TRINITY_DN9485_c0_g2_i3	M0S4I2_MUSAM/348-557	2.4e-74	M0S4I2_MUSAM/348-557 M0S4I2.1 PF11926.7;DUF3444;
TRINITY_DN1810_c0_g1_i8	A0A0A0LRZ9_CUCSA/225-396	2.3e-85	A0A0A0LRZ9_CUCSA/225-396 A0A0A0LRZ9.1 PF00270.28;DEAD;
TRINITY_DN6787_c0_g1_i3	V4U616_9ROSI/60-551	4.4e-246	V4U616_9ROSI/60-551 V4U616.1 PF00982.20;Glyco_transf_20;
TRINITY_DN2901_c0_g1_i1	M0S455_MUSAM/182-790	3.0e-279	M0S455_MUSAM/182-790 M0S455.1 PF05664.10;DUF810;
TRINITY_DN4790_c0_g1_i10	M0S717_MUSAM/4-270	2.8e-51	M0S717_MUSAM/4-270 M0S717.1 PF06273.10;eIF-4B;
TRINITY_DN2472_c0_g1_i2	M0TPM9_MUSAM/289-377	6.7e-37	M0TPM9_MUSAM/289-377 M0TPM9.1 PF13837.5;Myb_DNA-bind_4;
TRINITY_DN330_c0_g1_i9	A0A067GKV7_CITSI/21-130	6.5e-48	A0A067GKV7_CITSI/21-130 A0A067GKV7.1 PF00179.25;UQ_con;
TRINITY_DN11031_c0_g1_i6	M0S9Q6_MUSAM/574-902	2.9e-181	M0S9Q6_MUSAM/574-902 M0S9Q6.1 PF01513.20;NAD_kinase;
TRINITY_DN2240_c0_g1_i1	M0TA89_MUSAM/643-914	1.2e-91	M0TA89_MUSAM/643-914 M0TA89.1 PF07714.16;Pkinase_Tyr;
TRINITY_DN2240_c0_g1_i1	M0TA89_MUSAM/643-914	9.4e-39	M0TA89_MUSAM/643-914 M0TA89.1 PF07714.16;Pkinase_Tyr;
TRINITY_DN4349_c0_g1_i2	A0A067E678_CITSI/24-146	2.7e-54	A0A067E678_CITSI/24-146 A0A067E678.1 PF01417.19;ENTH;
TRINITY_DN56_c1_g1_i2	M0RWJ9_MUSAM/355-425	4.2e-07	M0RWJ9_MUSAM/355-425 M0RWJ9.1 PF00076.21;RRM_1;
TRINITY_DN12314_c2_g3_i3	M0SQN9_MUSAM/1-369	3.1e-127	M0SQN9_MUSAM/1-369 M0SQN9.1 PF06219.11;DUF1005;
TRINITY_DN1497_c0_g1_i1	M0TNC3_MUSAM/76-537	6.5e-250	M0TNC3_MUSAM/76-537 M0TNC3.1 PF10433.8;MMS1_N;
TRINITY_DN2050_c0_g1_i1	M0S2J9_MUSAM/340-735	3.0e-146	M0S2J9_MUSAM/340-735 M0S2J9.1 PF00503.19;G-alpha;
TRINITY_DN2050_c0_g1_i1	M0S2J9_MUSAM/340-735	6.3e-43	M0S2J9_MUSAM/340-735 M0S2J9.1 PF00503.19;G-alpha;
TRINITY_DN13674_c0_g1_i2	M0T8J1_MUSAM/544-828	8.3e-120	M0T8J1_MUSAM/544-828 M0T8J1.1 PF00069.24;Pkinase;
TRINITY_DN3468_c0_g1_i3	R0GL75_9BRAS/17-342	4.6e-171	R0GL75_9BRAS/17-342 R0GL75.1 PF00009.26;GTP_EFTU;
TRINITY_DN1032_c0_g2_i5	M0TYM9_MUSAM/417-501	5.0e-24	M0TYM9_MUSAM/417-501 M0TYM9.1 PF00564.23;PB1;
TRINITY_DN1439_c0_g1_i3	W1P0C1_AMBTC/514-605	5.9e-25	W1P0C1_AMBTC/514-605 W1P0C1.1 PF04576.14;Zein-binding;
TRINITY_DN15583_c0_g1_i1	A0A151TT02_CAJCA/573-689	1.4e-55	A0A151TT02_CAJCA/573-689 A0A151TT02.1 PF00917.25;MATH;
TRINITY_DN4561_c0_g1_i8	A0A0E0KYP5_ORYPU/199-424	1.6e-75	A0A0E0KYP5_ORYPU/199-424 A0A0E0KYP5.1 PF04802.14;SMK-1;
TRINITY_DN10856_c0_g1_i16	M0TL80_MUSAM/290-449	2.0e-09	M0TL80_MUSAM/290-449 M0TL80.1 PF07526.10;POX;
TRINITY_DN5830_c0_g1_i3	M0T302_MUSAM/496-737	1.4e-82	M0T302_MUSAM/496-737 M0T302.1 PF12490.7;BCAS3;
TRINITY_DN6047_c0_g1_i1	A0A067FGG8_CITSI/15-267	6.5e-08	A0A067FGG8_CITSI/15-267 A0A067FGG8.1 PF00069.24;Pkinase;
TRINITY_DN9838_c0_g1_i3	M0TBZ9_MUSAM/182-466	1.1e-58	M0TBZ9_MUSAM/182-466 M0TBZ9.1 PF00931.21;NB-ARC;
TRINITY_DN10120_c1_g1_i2	M0RMG5_MUSAM/626-795	4.5e-57	M0RMG5_MUSAM/626-795 M0RMG5.1 PF07724.13;AAA_2;
TRINITY_DN287_c0_g1_i1	M0RYT3_MUSAM/400-640	1.7e-117	M0RYT3_MUSAM/400-640 M0RYT3.1 PF04811.14;Sec23_trunk;
TRINITY_DN7311_c0_g1_i3	A0A0K9RN98_SPIOL/266-520	8.0e-131	A0A0K9RN98_SPIOL/266-520 A0A0K9RN98.1 PF00069.24;Pkinase;
TRINITY_DN7917_c0_g1_i10	M0RET9_MUSAM/1-236	3.5e-118	M0RET9_MUSAM/1-236 M0RET9.1 PF01902.16;Diphthami_syn_2;
TRINITY_DN3987_c0_g1_i3	A0A0K9P920_ZOSMR/856-1128	3.2e-132	A0A0K9P920_ZOSMR/856-1128 A0A0K9P920.1 PF00069.24;Pkinase;
TRINITY_DN2155_c0_g1_i5	A0A0B0N418_GOSAR/25-250	6.2e-75	A0A0B0N418_GOSAR/25-250 A0A0B0N418.1 PF16746.4;BAR_3;
TRINITY_DN11776_c0_g1_i6	M0TDW8_MUSAM/1-421	1.6e-144	M0TDW8_MUSAM/1-421 M0TDW8.1 PF13347.5;MFS_2;
TRINITY_DN4581_c0_g1_i3	A0A0J8CWV0_BETVU/404-588	8.3e-80	A0A0J8CWV0_BETVU/404-588 A0A0J8CWV0.1 PF00488.20;MutS_V;
TRINITY_DN3989_c0_g1_i7	M0RM23_MUSAM/57-246	1.7e-69	M0RM23_MUSAM/57-246 M0RM23.1 PF14881.5;Tubulin_3;
TRINITY_DN5093_c0_g1_i4	A0A0K9NZU3_ZOSMR/38-100	1.4e-21	A0A0K9NZU3_ZOSMR/38-100 A0A0K9NZU3.1 PF00226.30;DnaJ;
TRINITY_DN5186_c0_g1_i9	M0TNE5_MUSAM/113-384	5.5e-124	M0TNE5_MUSAM/113-384 M0TNE5.1 PF07714.16;Pkinase_Tyr;
TRINITY_DN9269_c0_g1_i7	A0A0B2P5H5_GLYSO/67-838	1.7e-104	A0A0B2P5H5_GLYSO/67-838 A0A0B2P5H5.1 PF00152.19;tRNA-synt_2;
TRINITY_DN4319_c0_g1_i2	M0TA85_MUSAM/65-457	3.2e-217	M0TA85_MUSAM/65-457 M0TA85.1 PF01134.21;GIDA;
TRINITY_DN6425_c0_g2_i1	W9R0C9_9ROSA/773-1145	1.8e-154	W9R0C9_9ROSA/773-1145 W9R0C9.1 PF00476.19;DNA_pol_A;
TRINITY_DN6856_c0_g1_i1	U5DAU6_AMBTC/232-282	1.0e-16	U5DAU6_AMBTC/232-282 U5DAU6.1 PF00010.25;HLH;
TRINITY_DN7613_c0_g1_i1	M0TAZ4_MUSAM/11-162	1.7e-61	M0TAZ4_MUSAM/11-162 M0TAZ4.1 PF10358.8;NT-C2;
TRINITY_DN5172_c0_g1_i4	M0T8E9_MUSAM/8-262	5.5e-140	M0T8E9_MUSAM/8-262 M0T8E9.1 PF00069.24;Pkinase;
TRINITY_DN17123_c0_g1_i11	M0TX28_MUSAM/94-424	5.0e-133	M0TX28_MUSAM/94-424 M0TX28.1 PF00069.24;Pkinase;
TRINITY_DN17123_c0_g1_i11	M0TX28_MUSAM/94-424	5.0e-133	M0TX28_MUSAM/94-424 M0TX28.1 PF00069.24;Pkinase;
TRINITY_DN17123_c0_g1_i11	M0TX28_MUSAM/94-424	5.5e-23	M0TX28_MUSAM/94-424 M0TX28.1 PF00069.24;Pkinase;
TRINITY_DN17123_c0_g1_i11	M0TX28_MUSAM/94-424	1.2e-17	M0TX28_MUSAM/94-424 M0TX28.1 PF00069.24;Pkinase;
TRINITY_DN581_c0_g1_i3	V4TSA9_9ROSI/501-823	4.5e-150	V4TSA9_9ROSI/501-823 V4TSA9.1 PF00225.22;Kinesin;
TRINITY_DN14732_c0_g1_i3	A0A0B2P5H5_GLYSO/67-838	1.2e-94	A0A0B2P5H5_GLYSO/67-838 A0A0B2P5H5.1 PF00152.19;tRNA-synt_2;
TRINITY_DN10046_c0_g1_i6	M0SRN7_MUSAM/193-259	2.3e-29	M0SRN7_MUSAM/193-259 M0SRN7.1 PF00076.21;RRM_1;
TRINITY_DN1280_c0_g1_i2	A0A0K9PXA6_ZOSMR/702-1020	1.9e-76	A0A0K9PXA6_ZOSMR/702-1020 A0A0K9PXA6.1 PF02309.15;AUX_IAA;
TRINITY_DN11231_c0_g1_i3	M0TB15_MUSAM/823-905	3.3e-28	M0TB15_MUSAM/823-905 M0TB15.1 PF00564.23;PB1;
TRINITY_DN7369_c0_g1_i2	M0TLZ2_MUSAM/59-309	8.5e-125	M0TLZ2_MUSAM/59-309 M0TLZ2.1 PF07714.16;Pkinase_Tyr;
TRINITY_DN9496_c1_g1_i2	M0S9W5_MUSAM/147-182	2.2e-08	M0S9W5_MUSAM/147-182 M0S9W5.1 PF05627.10;AvrRpt-cleavage;
TRINITY_DN9496_c1_g1_i2	M0S9W5_MUSAM/147-182	2.2e-08	M0S9W5_MUSAM/147-182 M0S9W5.1 PF05627.10;AvrRpt-cleavage;
TRINITY_DN10813_c0_g2_i8	M0SF50_MUSAM/426-667	2.1e-131	M0SF50_MUSAM/426-667 M0SF50.1 PF08323.10;Glyco_transf_5;
TRINITY_DN8380_c0_g1_i1	M0T9M9_MUSAM/541-605	3.1e-26	M0T9M9_MUSAM/541-605 M0T9M9.1 PF00076.21;RRM_1;
TRINITY_DN2317_c0_g2_i6	I1PYB5_ORYGL/24-315	7.0e-103	I1PYB5_ORYGL/24-315 I1PYB5.1 PF00069.24;Pkinase;
TRINITY_DN24547_c0_g1_i5	W9R2F3_9ROSA/241-569	6.6e-178	W9R2F3_9ROSA/241-569 W9R2F3.1 PF00676.19;E1_dh;
TRINITY_DN2424_c1_g1_i10	M0TBJ6_MUSAM/29-290	2.9e-64	M0TBJ6_MUSAM/29-290 M0TBJ6.1 PF04278.11;Tic22;
TRINITY_DN2424_c1_g1_i10	M0TBJ6_MUSAM/29-290	6.6e-45	M0TBJ6_MUSAM/29-290 M0TBJ6.1 PF04278.11;Tic22;
TRINITY_DN3986_c0_g1_i4	M0UBL5_MUSAM/19-569	8.5e-218	M0UBL5_MUSAM/19-569 M0UBL5.1 PF12070.7;SCAI;
TRINITY_DN14175_c0_g1_i5	A0A0B2P5H5_GLYSO/67-838	4.6e-46	A0A0B2P5H5_GLYSO/67-838 A0A0B2P5H5.1 PF00152.19;tRNA-synt_2;
TRINITY_DN6640_c0_g1_i1	M0RTV2_MUSAM/347-633	9.0e-159	M0RTV2_MUSAM/347-633 M0RTV2.1 PF02836.16;Glyco_hydro_2_C;
TRINITY_DN1142_c0_g1_i2	A0A0P0WG85_ORYSJ/767-877	7.9e-22	A0A0P0WG85_ORYSJ/767-877 A0A0P0WG85.1 PF13178.5;DUF4005;
TRINITY_DN7244_c0_g1_i9	M0TYE9_MUSAM/32-159	1.9e-63	M0TYE9_MUSAM/32-159 M0TYE9.1 PF01161.19;PBP;
TRINITY_DN3103_c0_g1_i5	M0SQ97_MUSAM/515-748	7.2e-116	M0SQ97_MUSAM/515-748 M0SQ97.1 PF01028.19;Topoisom_I;
TRINITY_DN1904_c0_g1_i7	M0TK07_MUSAM/48-420	5.4e-188	M0TK07_MUSAM/48-420 M0TK07.1 PF01053.19;Cys_Met_Meta_PP;
