gene	kegg_id	kegg_evalue	kegg_description
TRINITY_DN13971_c0_g1_i1	pda:103720373	1.3e-20	pda:103720373 serine/threonine-protein kinase ATG1; K08269 serine/threonine-protein kinase ULK/ATG1 [EC:2.7.11.1]
TRINITY_DN5757_c0_g1_i4	ota:Ot15g02000	9.0e-30	ota:Ot15g02000 Translational repressor Pumilio/PUF3 and related RNA-binding proteins (Puf superfamily) (ISS); K17943 pumilio RNA-binding family
TRINITY_DN7038_c0_g1_i1	mus:103992733	5.4e-309	mus:103992733 CTP synthase-like; K01937 CTP synthase [EC:6.3.4.2]
TRINITY_DN7200_c0_g3_i1	mus:103988631	1.7e-283	mus:103988631 exocyst complex component EXO70B1-like; K07195 exocyst complex component 7
TRINITY_DN9278_c0_g1_i4	ppp:PHYPADRAFT_230060	1.2e-18	ppp:PHYPADRAFT_230060 hypothetical protein; K15631 molybdenum cofactor sulfurtransferase [EC:2.8.1.9]
TRINITY_DN14205_c0_g1_i3	mus:104000679	4.3e-189	mus:104000679 recQ-mediated genome instability protein 1; K10990 RecQ-mediated genome instability protein 1
TRINITY_DN2818_c0_g1_i5	mus:103983252	1.1e-256	mus:103983252 DEAD-box ATP-dependent RNA helicase 7-like; K16911 ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]
TRINITY_DN11615_c0_g2_i2	ath:AT2G19190	4.3e-133	ath:AT2G19190 FRK1; FLG22-induced receptor-like kinase 1; K16224 senescence-induced receptor-like serine/threonine-protein kinase
TRINITY_DN1400_c0_g1_i4	zma:103640386	9.7e-08	zma:103640386 baculoviral IAP repeat-containing protein 6-like; K10581 ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
TRINITY_DN10099_c0_g1_i3	egu:105049860	0.0e+00	egu:105049860 alanine--tRNA ligase-like; K01872 alanyl-tRNA synthetase [EC:6.1.1.7]
TRINITY_DN11603_c0_g1_i1	mtr:MTR_4g114810	3.3e-16	mtr:MTR_4g114810 Oligopeptide transporter; K04773 protease IV [EC:3.4.21.-]
TRINITY_DN1910_c0_g1_i3	rcu:RCOM_1436620	1.9e-104	rcu:RCOM_1436620 nucleic acid binding protein, putative; K17573 meiosis arrest female protein 1
TRINITY_DN7085_c0_g1_i2	mus:103984051	3.6e-180	mus:103984051 uncharacterized protein LOC103984051 isoform X1; K11322 enhancer of polycomb-like protein
TRINITY_DN1027_c0_g1_i5	mus:103975229	2.4e-232	mus:103975229 transcription factor MYC2; K13422 transcription factor MYC2
TRINITY_DN10568_c0_g1_i9	mus:103992549	1.5e-125	mus:103992549 delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial; K12663 delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase [EC:5.3.3.-]
TRINITY_DN11419_c0_g1_i1	egu:105052694	8.3e-177	egu:105052694 double-strand break repair protein MRE11-like; K10865 double-strand break repair protein MRE11
TRINITY_DN11419_c0_g1_i1	egu:105052694	1.3e-118	egu:105052694 double-strand break repair protein MRE11-like; K10865 double-strand break repair protein MRE11
TRINITY_DN1836_c1_g2_i1	ppp:PHYPADRAFT_61917	7.1e-144	ppp:PHYPADRAFT_61917 hypothetical protein; K13418 somatic embryogenesis receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
TRINITY_DN11497_c0_g1_i1	mus:103990369	4.3e-226	mus:103990369 uncharacterized protein LOC103990369; K03691 peptide-O-fucosyltransferase [EC:2.4.1.221]
TRINITY_DN1458_c0_g2_i1	egu:105048966	2.3e-182	egu:105048966 probable protein S-acyltransferase 7; K16675 palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225]
TRINITY_DN3088_c0_g1_i8	mus:103972164	0.0e+00	mus:103972164 phenylalanine ammonia-lyase-like; K10775 phenylalanine ammonia-lyase [EC:4.3.1.24]
TRINITY_DN31456_c0_g5_i1	sly:100037733	4.0e-22	sly:100037733 PHOT1; phototropin-1; K08282 non-specific serine/threonine protein kinase [EC:2.7.11.1]
TRINITY_DN31456_c0_g5_i1	sly:100037733	3.0e-17	sly:100037733 PHOT1; phototropin-1; K08282 non-specific serine/threonine protein kinase [EC:2.7.11.1]
TRINITY_DN31456_c0_g5_i1	sly:100037733	5.3e-06	sly:100037733 PHOT1; phototropin-1; K08282 non-specific serine/threonine protein kinase [EC:2.7.11.1]
TRINITY_DN13215_c0_g1_i3	mis:MICPUN_88240	1.9e-128	mis:MICPUN_88240 ATP-binding cassette superfamily; K05657 ATP-binding cassette, subfamily B (MDR/TAP), member 10
TRINITY_DN6007_c0_g1_i5	mus:103976631	1.3e-137	mus:103976631 inositol-pentakisphosphate 2-kinase-like isoform X1; K10572 inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]
TRINITY_DN6007_c0_g1_i5	mus:103976631	1.6e-34	mus:103976631 inositol-pentakisphosphate 2-kinase-like isoform X1; K10572 inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]
TRINITY_DN831_c0_g1_i1	mus:103982917	1.9e-269	mus:103982917 probable galacturonosyltransferase 13; K13648 alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]
TRINITY_DN1809_c0_g1_i1	mus:103984199	0.0e+00	mus:103984199 phospholipid-transporting ATPase 1-like; K14802 phospholipid-transporting ATPase [EC:3.6.3.1]
TRINITY_DN208_c0_g1_i3	mus:103973778	2.9e-299	mus:103973778 polyadenylate-binding protein 2-like isoform X1; K13126 polyadenylate-binding protein
TRINITY_DN24863_c0_g1_i9	mus:103973426	2.2e-113	mus:103973426 SNF1-related protein kinase regulatory subunit beta-1-like; K07199 5'-AMP-activated protein kinase, regulatory beta subunit
TRINITY_DN24863_c0_g1_i9	mus:103973426	7.2e-112	mus:103973426 SNF1-related protein kinase regulatory subunit beta-1-like; K07199 5'-AMP-activated protein kinase, regulatory beta subunit
TRINITY_DN2988_c0_g1_i1	smo:SELMODRAFT_187400	9.0e-06	smo:SELMODRAFT_187400 hypothetical protein; K09597 signal peptide peptidase-like 2B [EC:3.4.23.-]
TRINITY_DN355_c0_g1_i5	bdi:100831005	1.0e-33	bdi:100831005 uncharacterized LOC100831005; K12840 splicing factor 45
TRINITY_DN7589_c0_g1_i6	obr:102706581	1.0e-09	obr:102706581 uncharacterized LOC102706581; K11806 WD repeat and SOF domain-containing protein 1
TRINITY_DN782_c1_g2_i1	sot:102585808	8.3e-44	sot:102585808 filament-like plant protein 7-like; K10352 myosin heavy chain
TRINITY_DN1743_c0_g2_i1	mus:103983230	0.0e+00	mus:103983230 heat shock 70 kDa protein, mitochondrial; K04043 molecular chaperone DnaK
TRINITY_DN18649_c0_g1_i1	ppp:PHYPADRAFT_143513	4.5e-122	ppp:PHYPADRAFT_143513 hypothetical protein; K04730 interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1]
TRINITY_DN6467_c0_g1_i7	mus:103972748	2.1e-55	mus:103972748 putative disease resistance RPP13-like protein 1; K19613 leucine-rich repeat protein SHOC2
TRINITY_DN5449_c0_g1_i3	mus:103986321	7.3e-141	mus:103986321 uncharacterized protein LOC103986321; K14050 geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]
TRINITY_DN5449_c0_g1_i3	mus:103986321	8.6e-73	mus:103986321 uncharacterized protein LOC103986321; K14050 geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]
TRINITY_DN13372_c0_g1_i6	mus:103999131	8.3e-68	mus:103999131 mitochondrial import inner membrane translocase subunit TIM50-like; K17496 mitochondrial import inner membrane translocase subunit TIM50
TRINITY_DN13372_c0_g1_i6	mus:103999131	3.3e-48	mus:103999131 mitochondrial import inner membrane translocase subunit TIM50-like; K17496 mitochondrial import inner membrane translocase subunit TIM50
TRINITY_DN173_c0_g3_i2	mus:103979942	4.8e-193	mus:103979942 splicing factor U2af large subunit B-like isoform X1; K12837 splicing factor U2AF 65 kDa subunit
TRINITY_DN173_c0_g3_i2	mus:103979942	2.9e-04	mus:103979942 splicing factor U2af large subunit B-like isoform X1; K12837 splicing factor U2AF 65 kDa subunit
TRINITY_DN5203_c0_g1_i4	mus:103995223	5.6e-64	mus:103995223 flavonol synthase/flavanone 3-hydroxylase-like; K05278 flavonol synthase [EC:1.14.11.23]
TRINITY_DN1179_c0_g5_i2	mus:104000032	6.5e-190	mus:104000032 glucosidase 2 subunit beta-like isoform X1; K08288 protein kinase C substrate 80K-H
TRINITY_DN3405_c0_g1_i1	mus:103988533	8.9e-280	mus:103988533 zinc finger CCCH domain-containing protein 45-like; K14404 cleavage and polyadenylation specificity factor subunit 4
TRINITY_DN4148_c1_g1_i3	mus:103984895	8.1e-15	mus:103984895 uric acid degradation bifunctional protein TTL isoform X1; K13484 5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
TRINITY_DN4148_c1_g1_i3	mus:103984895	3.7e-07	mus:103984895 uric acid degradation bifunctional protein TTL isoform X1; K13484 5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
TRINITY_DN4148_c1_g1_i3	mus:103984895	1.1e-06	mus:103984895 uric acid degradation bifunctional protein TTL isoform X1; K13484 5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
TRINITY_DN7265_c0_g1_i7	sot:102597976	4.4e-93	sot:102597976 probable receptor-like protein kinase At5g15080-like; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
TRINITY_DN7265_c0_g1_i7	sot:102597976	8.9e-46	sot:102597976 probable receptor-like protein kinase At5g15080-like; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
TRINITY_DN10601_c0_g1_i3	mus:103986563	9.5e-298	mus:103986563 DEAD-box ATP-dependent RNA helicase 32 isoform X1; K14776 ATP-dependent RNA helicase DDX10/DBP4 [EC:3.6.4.13]
TRINITY_DN27888_c0_g2_i3	mtr:MTR_4g114810	2.5e-16	mtr:MTR_4g114810 Oligopeptide transporter; K04773 protease IV [EC:3.4.21.-]
TRINITY_DN752_c0_g1_i5	mus:103978263	0.0e+00	mus:103978263 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, chloroplastic; K03526 (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
TRINITY_DN9492_c0_g1_i4	mus:103983547	2.6e-186	mus:103983547 transcription factor PIF4-like; K16189 phytochrome-interacting factor 4
TRINITY_DN172_c0_g1_i1	mus:103983083	7.7e-292	mus:103983083 cationic amino acid transporter 2, vacuolar-like; K13863 solute carrier family 7 (cationic amino acid transporter), member 1
TRINITY_DN2385_c0_g1_i4	mus:103987501	0.0e+00	mus:103987501 sucrose synthase 2; K00695 sucrose synthase [EC:2.4.1.13]
TRINITY_DN37197_c0_g1_i5	jcu:105634915	7.9e-10	jcu:105634915 uncharacterized LOC105634915; K15032 mTERF domain-containing protein, mitochondrial
TRINITY_DN6186_c0_g1_i3	pda:103705849	2.8e-31	pda:103705849 uncharacterized protein At4g28440-like; K07466 replication factor A1
TRINITY_DN6186_c0_g1_i3	pda:103705849	2.1e-23	pda:103705849 uncharacterized protein At4g28440-like; K07466 replication factor A1
TRINITY_DN13374_c0_g1_i3	mus:103968411	1.3e-190	mus:103968411 ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial; K03544 ATP-dependent Clp protease ATP-binding subunit ClpX
TRINITY_DN13374_c0_g1_i3	mus:103968411	6.9e-99	mus:103968411 ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial; K03544 ATP-dependent Clp protease ATP-binding subunit ClpX
TRINITY_DN1826_c0_g1_i1	aly:ARALYDRAFT_660715	1.0e-62	aly:ARALYDRAFT_660715 hypothetical protein; K18643 katanin p80 WD40 repeat-containing subunit B1
TRINITY_DN4412_c1_g1_i11	egu:105046721	4.6e-228	egu:105046721 histidinol dehydrogenase, chloroplastic; K00013 histidinol dehydrogenase [EC:1.1.1.23]
TRINITY_DN795_c0_g1_i3	rcu:RCOM_1599780	7.0e-67	rcu:RCOM_1599780 protein kinase, putative (EC:2.7.10.2); K17535 serine/threonine-protein kinase TNNI3K [EC:2.7.11.1]
TRINITY_DN13397_c0_g3_i2	bvg:104901418	3.6e-15	bvg:104901418 probable ADP-ribosylation factor GTPase-activating protein AGD15; K12486 stromal membrane-associated protein
TRINITY_DN7265_c0_g1_i1	sot:102597976	7.1e-144	sot:102597976 probable receptor-like protein kinase At5g15080-like; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
TRINITY_DN13832_c0_g1_i3	pda:103712964	1.2e-87	pda:103712964 uncharacterized LOC103712964; K19476 vacuolar protein sorting-associated protein IST1
TRINITY_DN15514_c0_g1_i1	egr:104420484	1.8e-216	egr:104420484 probable beta-D-xylosidase 5; K15920 beta-D-xylosidase 4 [EC:3.2.1.37]
TRINITY_DN23680_c0_g1_i1	mus:103987903	1.9e-181	mus:103987903 probable protein phosphatase 2C 38; K01102 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
TRINITY_DN23680_c0_g1_i1	mus:103987903	7.3e-16	mus:103987903 probable protein phosphatase 2C 38; K01102 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
TRINITY_DN1618_c0_g1_i4	mus:103992256	4.8e-193	mus:103992256 uncharacterized protein LOC103992256; K18134 protein O-GlcNAc transferase [EC:2.4.1.255]
TRINITY_DN4238_c0_g1_i3	zma:103640386	9.6e-08	zma:103640386 baculoviral IAP repeat-containing protein 6-like; K10581 ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
TRINITY_DN487_c1_g1_i1	mus:103968591	4.8e-185	mus:103968591 heterogeneous nuclear ribonucleoprotein 1-like isoform X1; K14411 RNA-binding protein Musashi
TRINITY_DN6294_c0_g1_i5	cme:CYME_CMT292C	4.0e-14	cme:CYME_CMT292C ribose-phosphate pyrophosphokinase; K00948 ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
TRINITY_DN6878_c0_g2_i1	mus:103990765	3.3e-290	mus:103990765 sterol 3-beta-glucosyltransferase UGT80B1 isoform X1; K05841 sterol 3beta-glucosyltransferase [EC:2.4.1.173]
TRINITY_DN16154_c0_g1_i6	ppp:PHYPADRAFT_31864	3.6e-71	ppp:PHYPADRAFT_31864 hypothetical protein; K10157 galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 [EC:2.4.1.135]
TRINITY_DN17712_c0_g1_i3	mus:103971430	1.7e-89	mus:103971430 syntaxin-81; K08492 syntaxin 18
TRINITY_DN33617_c0_g1_i5	bvg:104905952	7.8e-135	bvg:104905952 sorting nexin 2B-like; K17917 sorting nexin-1/2
TRINITY_DN648_c0_g1_i7	mus:103997927	1.6e-188	mus:103997927 actin-2-like; K10355 actin, other eukaryote
TRINITY_DN648_c0_g1_i7	mus:103997927	2.3e-70	mus:103997927 actin-2-like; K10355 actin, other eukaryote
TRINITY_DN648_c0_g1_i7	mus:103997927	3.9e-17	mus:103997927 actin-2-like; K10355 actin, other eukaryote
TRINITY_DN3810_c0_g1_i8	aly:ARALYDRAFT_321151	6.3e-60	aly:ARALYDRAFT_321151 hypothetical protein; K14794 ribosomal RNA-processing protein 12
TRINITY_DN1849_c0_g1_i1	mus:103968591	1.3e-169	mus:103968591 heterogeneous nuclear ribonucleoprotein 1-like isoform X1; K14411 RNA-binding protein Musashi
TRINITY_DN2385_c0_g1_i5	mus:103976736	0.0e+00	mus:103976736 sucrose synthase 2-like; K00695 sucrose synthase [EC:2.4.1.13]
TRINITY_DN2622_c0_g1_i5	mus:103999906	8.2e-217	mus:103999906 actin-2; K10355 actin, other eukaryote
TRINITY_DN3904_c0_g1_i3	mus:103998937	3.8e-230	mus:103998937 endoplasmic reticulum oxidoreductin-1-like; K10950 ERO1-like protein alpha [EC:1.8.4.-]
TRINITY_DN4028_c0_g1_i7	mus:103993871	2.3e-142	mus:103993871 uncharacterized protein LOC103993871; K06941 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
TRINITY_DN6432_c0_g1_i5	pda:103702400	9.8e-45	pda:103702400 transcription initiation factor IIA subunit 2-like; K03123 transcription initiation factor TFIIA small subunit
TRINITY_DN15974_c0_g1_i8	mus:103996938	4.2e-165	mus:103996938 uncharacterized protein LOC103996938 isoform X1; K04650 nuclear receptor co-repressor 1
TRINITY_DN2040_c0_g1_i4	sita:101775448	6.7e-195	sita:101775448 calcium-transporting ATPase 9, plasma membrane-type-like; K01537 Ca2+-transporting ATPase [EC:3.6.3.8]
TRINITY_DN650_c0_g1_i3	mus:103977820	3.1e-264	mus:103977820 probable nucleoredoxin 1; K17609 nucleoredoxin [EC:1.8.1.8]
TRINITY_DN650_c0_g1_i3	mus:103977820	2.1e-39	mus:103977820 probable nucleoredoxin 1; K17609 nucleoredoxin [EC:1.8.1.8]
TRINITY_DN6736_c0_g1_i1	mus:103983045	3.3e-274	mus:103983045 tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like; K05544 tRNA-dihydrouridine synthase 3 [EC:1.3.1.89]
TRINITY_DN9811_c0_g1_i2	vcn:VOLCADRAFT_76569	2.8e-15	vcn:VOLCADRAFT_76569 nitA; nitrate reductase; K10534 nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
TRINITY_DN10376_c0_g1_i2	mus:103980941	6.2e-100	mus:103980941 V-type proton ATPase subunit E-like; K02150 V-type H+-transporting ATPase subunit E
TRINITY_DN1102_c1_g1_i1	mtr:MTR_5g098730	1.6e-289	mtr:MTR_5g098730 Transmembrane 9 superfamily protein member; K17086 transmembrane 9 superfamily member 2/4
TRINITY_DN18166_c0_g1_i7	pda:103696395	1.1e-96	pda:103696395 uncharacterized LOC103696395; K13356 alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
TRINITY_DN2552_c0_g1_i4	egu:105035100	0.0e+00	egu:105035100 probable 1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic; K01662 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
TRINITY_DN3136_c0_g1_i3	crb:CARUB_v10003201mg	1.1e-189	crb:CARUB_v10003201mg hypothetical protein; K01090 protein phosphatase [EC:3.1.3.16]
TRINITY_DN1973_c0_g1_i2	mus:103971236	6.7e-203	mus:103971236 transcription factor GTE4-like isoform X1; K11721 bromodomain-containing protein 3
TRINITY_DN21221_c0_g1_i3	sita:101760526	1.3e-214	sita:101760526 uncharacterized LOC101760526; K15449 tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]
TRINITY_DN2401_c0_g1_i3	mus:103996347	1.1e-19	mus:103996347 protein TIFY 3B-like; K13464 jasmonate ZIM domain-containing protein
TRINITY_DN3187_c0_g1_i1	mus:103987593	9.4e-173	mus:103987593 uncharacterized aarF domain-containing protein kinase 1 isoform X1; K08869 aarF domain-containing kinase
TRINITY_DN3187_c0_g1_i1	mus:103987593	8.3e-52	mus:103987593 uncharacterized aarF domain-containing protein kinase 1 isoform X1; K08869 aarF domain-containing kinase
TRINITY_DN423_c0_g1_i6	mus:103973546	6.2e-257	mus:103973546 SNF1-related protein kinase catalytic subunit alpha KIN10-like; K07198 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]
TRINITY_DN6311_c0_g1_i10	mus:103969471	2.5e-88	mus:103969471 probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic; K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
TRINITY_DN6311_c0_g1_i10	mus:103969471	1.1e-77	mus:103969471 probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic; K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
TRINITY_DN11238_c0_g1_i8	mtr:MTR_8g087860	3.6e-31	mtr:MTR_8g087860 Floral homeotic protein AGAMOUS; K09264 MADS-box transcription factor, plant
TRINITY_DN11238_c0_g1_i8	mtr:MTR_8g087860	8.0e-31	mtr:MTR_8g087860 Floral homeotic protein AGAMOUS; K09264 MADS-box transcription factor, plant
TRINITY_DN6465_c0_g1_i7	mus:103991333	7.8e-34	mus:103991333 UPF0161 protein At3g09310; K08998 uncharacterized protein
TRINITY_DN670_c0_g1_i2	mus:103983716	0.0e+00	mus:103983716 probable potassium transporter 11; K03549 KUP system potassium uptake protein
TRINITY_DN8193_c0_g1_i3	mus:103980442	1.6e-111	mus:103980442 annexin-like protein RJ4; K17099 annexin A13
TRINITY_DN16432_c0_g1_i3	mus:103991350	1.5e-82	mus:103991350 uncharacterized protein LOC103991350; K04485 DNA repair protein RadA/Sms
TRINITY_DN16432_c0_g1_i3	mus:103991350	5.0e-81	mus:103991350 uncharacterized protein LOC103991350; K04485 DNA repair protein RadA/Sms
TRINITY_DN4784_c0_g1_i5	bdi:100843665	6.8e-14	bdi:100843665 transcription factor ABORTED MICROSPORES-like; K16190 glucuronokinase [EC:2.7.1.43]
TRINITY_DN4307_c0_g1_i4	egr:104431689	2.9e-89	egr:104431689 probable inactive receptor-like protein kinase At3g56050; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
TRINITY_DN499_c0_g1_i3	sita:101759799	5.8e-106	sita:101759799 cAMP-regulated phosphoprotein 21-like; K02865 large subunit ribosomal protein L10Ae
TRINITY_DN10812_c0_g1_i1	mus:103981813	7.2e-173	mus:103981813 zeta-carotene desaturase, chloroplastic/chromoplastic; K00514 zeta-carotene desaturase [EC:1.3.5.6]
TRINITY_DN10812_c0_g1_i1	mus:103981813	9.2e-120	mus:103981813 zeta-carotene desaturase, chloroplastic/chromoplastic; K00514 zeta-carotene desaturase [EC:1.3.5.6]
TRINITY_DN1784_c0_g1_i4	osa:4339240	3.0e-203	osa:4339240 Os05g0502000; K05391 cyclic nucleotide gated channel, other eukaryote
TRINITY_DN1784_c0_g1_i4	osa:4339240	4.3e-16	osa:4339240 Os05g0502000; K05391 cyclic nucleotide gated channel, other eukaryote
TRINITY_DN5355_c1_g1_i5	mus:103979919	6.7e-203	mus:103979919 sucrose transport protein SUT4 isoform X1; K15378 solute carrier family 45, member 1/2/4
TRINITY_DN5355_c1_g1_i5	mus:103979919	1.4e-51	mus:103979919 sucrose transport protein SUT4 isoform X1; K15378 solute carrier family 45, member 1/2/4
TRINITY_DN1027_c0_g1_i2	mus:103972203	2.2e-198	mus:103972203 transcription factor MYC3-like; K13422 transcription factor MYC2
TRINITY_DN1672_c0_g1_i1	mus:103996874	1.2e-249	mus:103996874 arginyl-tRNA--protein transferase 1-like isoform X1; K00685 arginine-tRNA-protein transferase [EC:2.3.2.8]
TRINITY_DN1942_c0_g1_i5	mus:103982816	1.7e-28	mus:103982816 serine/threonine-protein kinase MST4 isoform X1; K08835 serine/threonine-protein kinase OSR1/STK39 [EC:2.7.11.1]
TRINITY_DN26513_c0_g1_i1	mus:103981504	1.4e-298	mus:103981504 two pore calcium channel protein 1; K16900 two pore calcium channel protein, plant
TRINITY_DN5983_c2_g1_i2	pop:POPTR_0006s29230g	1.5e-08	pop:POPTR_0006s29230g cryptochrome dash family protein; K01669 deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
TRINITY_DN958_c0_g1_i2	pxb:103961020	7.9e-95	pxb:103961020 U-box domain-containing protein 4; K08332 vacuolar protein 8
TRINITY_DN958_c0_g1_i2	pxb:103961020	3.2e-11	pxb:103961020 U-box domain-containing protein 4; K08332 vacuolar protein 8
TRINITY_DN199_c0_g1_i2	cit:102626751	7.2e-72	cit:102626751 uncharacterized LOC102626751; K18726 FAS-associated factor 2
TRINITY_DN23731_c0_g1_i3	smo:SELMODRAFT_271379	2.5e-85	smo:SELMODRAFT_271379 hypothetical protein; K13254 spastin [EC:3.6.4.3]
TRINITY_DN5546_c0_g1_i2	mus:103995491	9.6e-234	mus:103995491 protein NRT1/ PTR FAMILY 3.1-like; K14638 solute carrier family 15 (peptide/histidine transporter), member 3/4
TRINITY_DN5881_c0_g1_i2	vvi:100250295	2.5e-109	vvi:100250295 uncharacterized LOC100250295; K03452 magnesium/proton exchanger
TRINITY_DN903_c2_g1_i1	mus:103980470	0.0e+00	mus:103980470 glycine--tRNA ligase 1, mitochondrial-like; K01880 glycyl-tRNA synthetase [EC:6.1.1.14]
TRINITY_DN954_c0_g1_i1	atr:18446390	8.6e-25	atr:18446390 probable E3 ubiquitin-protein ligase HERC4; K10615 E3 ubiquitin-protein ligase HERC4 [EC:2.3.2.26]
TRINITY_DN1504_c0_g1_i1	mus:103987528	6.5e-182	mus:103987528 protein sel-1 homolog 1-like; K14026 SEL1 protein
TRINITY_DN3284_c0_g1_i6	mpp:MICPUCDRAFT_15400	1.2e-07	mpp:MICPUCDRAFT_15400 hypothetical protein; K08852 serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]
TRINITY_DN5717_c0_g1_i2	pxb:103941469	3.3e-170	pxb:103941469 histone-lysine N-methyltransferase ASHH1-like; K11423 histone-lysine N-methyltransferase SETD2 [EC:2.1.1.43]
TRINITY_DN8464_c0_g1_i1	aly:ARALYDRAFT_674863	9.4e-48	aly:ARALYDRAFT_674863 hypothetical protein; K08867 WNK lysine deficient protein kinase [EC:2.7.11.1]
TRINITY_DN10114_c0_g1_i1	smo:SELMODRAFT_83773	1.4e-72	smo:SELMODRAFT_83773 hypothetical protein; K04730 interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1]
TRINITY_DN14192_c0_g1_i2	cre:CHLREDRAFT_100842	9.8e-29	cre:CHLREDRAFT_100842 dUTP pyrophosphatase (EC:3.6.1.23); K01520 dUTP pyrophosphatase [EC:3.6.1.23]
TRINITY_DN8204_c0_g1_i1	mus:103978761	1.1e-24	mus:103978761 maf-like protein DDB_G0281937; K06287 septum formation protein
TRINITY_DN8204_c0_g1_i1	mus:103978761	7.5e-21	mus:103978761 maf-like protein DDB_G0281937; K06287 septum formation protein
TRINITY_DN328_c0_g1_i4	pvu:PHAVU_008G151800g	4.4e-29	pvu:PHAVU_008G151800g hypothetical protein; K18980 2-methylene-furan-3-one reductase [EC:1.3.1.105]
TRINITY_DN11924_c0_g1_i11	egu:105050795	5.0e-299	egu:105050795 NADPH--cytochrome P450 reductase-like; K00327 NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
TRINITY_DN24791_c0_g1_i2	mus:103993057	4.3e-202	mus:103993057 transcription initiation factor TFIID subunit 5; K03130 transcription initiation factor TFIID subunit 5
TRINITY_DN3006_c0_g1_i5	mus:104000595	8.2e-177	mus:104000595 protein NRT1/ PTR FAMILY 5.10; K14638 solute carrier family 15 (peptide/histidine transporter), member 3/4
TRINITY_DN6896_c0_g1_i1	mus:103985175	1.6e-188	mus:103985175 formation of crista junctions protein 1 isoform X1; K17785 mitofilin
TRINITY_DN11949_c0_g2_i1	smo:SELMODRAFT_230176	7.8e-119	smo:SELMODRAFT_230176 CSLA1-1; glycosyltransferase family 2 protein; K13680 beta-mannan synthase [EC:2.4.1.32]
TRINITY_DN25357_c0_g2_i1	csv:101215324	3.8e-113	csv:101215324 abscisic acid 8'-hydroxylase 2; K07437 cytochrome P450, family 26, subfamily A
TRINITY_DN2207_c0_g2_i2	smo:SELMODRAFT_132357	8.7e-94	smo:SELMODRAFT_132357 hypothetical protein; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
TRINITY_DN2207_c0_g2_i2	smo:SELMODRAFT_132357	1.6e-15	smo:SELMODRAFT_132357 hypothetical protein; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
